"","IBCSplitCode","IBCCodeDescription","CleanText"
"718","3826z00","Scientific instruments NOC","scientific instruments noc"
"719","2750g00","Screen printing mfg.","screen printing manufactur."
"720","2044z00","Seed processors NOC","seed processors noc"
"721","5012a00","Motorcycles, mopeds, snow vehicles","motorcycles, mopeds, snow vehicles"
"722","7915a00","Casinos - no liquor license","casinos -"
"723","2490a00","Shingle mills","shingle mills"
"724","3798a00","Shipbuilding, dry dock","shipbuilding, dry dock"
"725","3071b00","Sign manufacturing (plastic)","sign manufacturing (plastic)"
"726","3596a00","Sign Manufacturing, excl fluorescent and neon","sign manufacturing, "
"727","3295a00","Slate milling, cutting, stone polishing & grinding, monument manufacturers","slate milling, cutting, stone polishing grinding, monument manufacturers"
"728","8943a00","Municipal - fire dept. - volunteer","municipal - fire dept. - volunteer"
"729","8947z00","Municipal - other public officials","municipal - other public officials"
"730","3360d00","Smelter","smelter"
"731","1403z00","Quarrying - NOC - incl. crushing, lime mfg. and slate splitting","quarrying - noc - incl. crushing, lime manufactur. and slate splitting"
"732","1002a00","Metal mining - prospecting - no underground","metal mining - prospecting -"
"733","1404a00","Quarrying -underground mining","quarrying -underground mining"
"734","8940z00","Municipal governments NOC","municipal governments noc"
"735","4812a00","Communication services - incl. cablevision","communication services - incl. cablevision"
"736","1101a00","Coal mining - underground","coal mining - underground"
"737","1001a00","Metal mining - not prospecting - no underground","metal mining -"
"738","8292a20","Museums/public art galleries - Contents","museums public art galleries - contents"
"739","1401a00","Quarrying - asbestos mining","quarrying - asbestos mining"
"740","1394d00","Battery Operators","battery operators"
"741","5821a00","Neighbourhood Pub no entertainment or dancing","neighbourhood pub"
"742","6310a00","Insurance companies","insurance companies"
"743","8112a00","Notaries (Quebec), public notaries","notaries (quebec), public notaries"
"744","6411b00","Bookkeepers","bookkeepers"
"745","5822a00","Neighbourhood Pub with entertainment or dancing","neighbourhood pub with entertainment or dancing"
"746","6380a00","Pension, welfare, retirement benefit funds - labour unions","pension, welfare, retirement benefit funds - labour unions"
"747","6230a00","Commodity brokers, dealers - other than Agricultural","commodity brokers, dealers - otherthanagricultural"
"748","6390a00","Pension, welfare, retirement benefit funds - not labour union","pension, welfare, retirement benefit funds -"
"749","6230b10","Commodity brokers, dealers - Agricultural","commodity brokers, dealers - agricultural"
"750","6610z00","Office tenants (NOC)","office tenants (noc)"
"751","5996b00","Flea Markets","flea markets"
"752","5716a00","Floor coverings ( e.g. carpets, rugs, tiles, linoleum, laminate) / Window and wall coverings ( e.g. draperies, curtains) - with installation","floor coverings ( e.g. carpets, rugs, tiles, linoleum, laminate) window and wall coverings ( e.g. draperies, curtains) - with installation"
"753","1393c00","Coil Tubing Operator","coil tubing operator"
"754","2003c00","Smokehouse - fish - cold processing","smokehouse - fish - cold processing"
"755","5180a00","Newspapers, periodicals, books","newspapers, periodicals, books"
"756","1395b10","Compressors - Installation, Maintenance, Rental, Service or Repair","compressors - installation, maintenance, rental, service or repair"
"757","1394a00","Control of Well","control of well"
"758","5712b00","Floor coverings ( e.g. carpets, rugs, tiles, linoleum, laminate) / Window and wall coverings ( e.g. draperies, curtains) / (store only, no installation and repairs off premises)","floor coverings ( e.g. carpets, rugs, tiles, linoleum, laminate) window and wall coverings ( e.g. draperies, curtains) (store only,"
"759","1394i30","Drill Bits, Sniffers, Stuffers, Collars, Well Head Assemblies - Installation, Maintenance, Rental, Service or Repair","drill bits, sniffers, stuffers, collars, well head assemblies - installation, maintenance, rental, service or repair"
"760","2003b00","Smokehouse - fish - hot processing","smokehouse - fish - hot processing"
"761","1393a10","Drilling / Oil or Gas Well (including Land, Horizontal, Directional or Offshore)","drilling oil or gas well (including land, horizontal, directional or offshore)"
"762","5993a00","Florists","florists"
"763","1393b00","Drilling Consultants including MWD","drilling consultants including mwd"
"764","1394i40","Drilling Jars, Fishing Jar Stabilizers, Shock Tools - Installation, Maintenance, Rental, Service or Repair","drilling jars, fishing jar stabilizers, shock tools - installation, maintenance, rental, service or repair"
"765","1395a10","Drilling Mud supplier","drilling mud supplier"
"766","1395b20","Equipment Rentals - Cranes - with operator","equipment rentals - cranes - with operator"
"767","2001d00","Smokehouse - meat","smokehouse - meat"
"768","8080h00","Social Services","social services"
"769","2052a00","Snack food manufacturing","snack food manufacturing"
"770","1395b30","Equipment Rentals - Cranes - without operator","equipment rentals - cranes - without operator"
"771","1395b40","Equipment Rentals - Equipment - Above ground","equipment rentals - equipment - above ground"
"772","1395b00","Equipment Rentals - NOC","equipment rentals - noc"
"773","1395b60","Equipment Rentals - Tools (above ground only)","equipment rentals - tools (above ground only)"
"774","1398a00","Field / Mobile Welders excluding Hot Tap","field mobile welders "
"775","1398c00","Field / Mobile Welders including Hot Tap","field mobile welders including hot tap"
"776","7914a00","Casinos - with liquor","casinos - with liquor"
"777","1394a70","Flush by Units (Work overs and Completions)","flush by units (work overs and completions)"
"778","1394e00","Gas Plant Maintenance excluding Welding","gas plant maintenance "
"779","1394e20","Gas Plant Operators","gas plant operators"
"780","2840a00","Soap, soap powder, detergent and shampoo manufacturing","soap, soap powder, detergent and shampoo manufacturing"
"781","5433h00","Food stores - NOC","food stores - noc"
"782","1397a00","Geologists, Surveyor (field operations)","geologists, surveyor (field operations)"
"783","7989a00","Circuses, carnival, travelling amusement companies","circuses, carnival, travelling amusement companies"
"784","1397a10","Geophysical Exploration incl. Soil Testing (field operations)","geophysical exploration incl. soil testing (field operations)"
"785","8111c00","Paralegals","paralegals"
"786","1394g10","Hot Oil Operators","hot oil operators"
"787","3296a00","Soapstone and its products, talc","soapstone and its products, talc"
"788","5432a00","Frozen foods (retail)","frozen foods (retail)"
"789","1394e10","Instrumentation/Meter Maintenance","instrumentation meter maintenance"
"790","1394h00","Land reclamation (excluding remediation)","land reclamation ("
"791","1394h30","Lease Road Construction and Maintenance","lease road construction and maintenance"
"792","2043b00","Spice, tea, coffee processing","spice, tea, coffee processing"
"793","1395c10","Mud Tanks, Mud Pumps & Skid Tanks -  Installation, Maintenance, Rental, Service or Repair","mud tanks, mud pumps skid tanks - installation, maintenance, rental, service or repair"
"794","1391a00","National scale oil (energy) cos.","national scale oil (energy) cos."
"795","3983a00","Sporting goods - no firearms or protective equipment","sporting goods -"
"796","5433b00","Fruit and vegetable stores","fruit and vegetable stores"
"797","3282d00","Stained glass studios","stained glass studios"
"798","3320b00","Steel mills mfg.","steel mills manufactur."
"799","1394b10","Oilfield Construction Supervisor / Consultant","oilfield construction supervisor consultant"
"800","1514a00","Pile driving contractors","pile driving contractors"
"801","1394f10","Oilfield Valves - Installation, Maintenance, Rental, Service or Repair","oilfield valves - installation, maintenance, rental, service or repair"
"802","1394a40","Perforating","perforating"
"803","1396b00","Pig Operations excluding X-Ray","pig operations "
"804","1394i20","Pigs -Maintenance, Rental, Service or Repair","pigs -maintenance, rental, service or repair"
"805","5811a10","Pizza Restaurants - not licensed, no deep frying","pizza restaurants -"
"806","1394g00","Pipe Insulation","pipe insulation"
"807","5812a20","Pizzeria - licensed, incl deep frying","pizzeria - licensed, incl deep frying"
"808","5811a20","Pizzeria - not licensed, incl deep frying","pizzeria - incl deep frying"
"809","1396a00","Pipeline and pumping operations","pipeline and pumping operations"
"810","5812a10","Pizzeria, no deep frying - licensed","pizzeria, licensed"
"811","1394k00","Power Tong Operators","power tong operators"
"812","1394k10","Power Tongs - Installation, Maintenance, Rental, Service or Repair","power tongs - installation, maintenance, rental, service or repair"
"813","8292b00","Planetariums","planetariums"
"814","1394f20","Pumpjack - Installation, Maintenance, Rental, Service or Repair","pumpjack - installation, maintenance, rental, service or repair"
"815","2060a00","Sugar, syrup, molasses refining","sugar, syrup, molasses refining"
"816","1711a00","Plumbing - incl. hot tub / solar hot water systems installation","plumbing - incl. hot tub solar hot water systems installation"
"817","2310b00","Tailors","tailors"
"818","1393a20","Rat Hole Drilling","rat hole drilling"
"819","8310a00","Post Secondary (Colleges, universities, CEGEP, Polytechnical)","post secondary (colleges, universities, cegep, polytechnical)"
"820","0121d00","Potato farms","potato farms"
"821","1394c00","Rig Anchoring","rig anchoring"
"822","3690a00","Tank manufacturing - metal, not pressurized","tank manufacturing - metal,"
"823","1395c00","Rig Mats - Installation, Maintenance, Rental, Service or Repair","rig mats - installation, maintenance, rental, service or repair"
"824","1397b10","Seismic exploration excluding Aerial","seismic exploration "
"825","0150a20","Poultry - other than egg production","poultry - otherthanegg production"
"826","0150a10","Poultry - table egg production","poultry - table egg production"
"827","2820d00","Tank mfg. - plastic, synthetic resins & fibres , not pressurized","tank manufactur. - plastic, synthetic resins fibres ,"
"828","1394b20","Service Rig Consultant/Supervisor","service rig consultant supervisor"
"829","1394a30","Service Rig Operators - workovers and completions","service rig operators - workovers and completions"
"830","1394b00","Site Consultants/Supervisor","site consultants supervisor"
"831","3191a00","Tanneries mfg.","tanneries manufactur."
"832","2352f00","Tent manufacturing","tent manufacturing"
"833","1394h20","Site Preparation and Maintenance - NO pollution clean-up / remediation","site preparation and maintenance -"
"834","7920a00","Commercial museums (waxworks, etc.)","commercial museums (waxworks, etc.)"
"835","1394h10","Site Reclamation incl. pollution clean up / remediation","site reclamation incl. pollution clean up remediation"
"836","1394i10","Sucker Rods, Draw Works - Installation, Maintenance, Rental, Service or Repair","sucker rods, draw works - installation, maintenance, rental, service or repair"
"837","1395b50","Surge Tanks - Installation, Maintenance, Rental, Service or Repair","surge tanks - installation, maintenance, rental, service or repair"
"838","5194a00","Prosthetic devices, hearing aids, eye glasses, contact lenses","prosthetic devices, hearing aids, eye glasses, contact lenses"
"839","1394j00","Swamp Mats - Installation, Maintenance, Rental, Service or Repair","swamp mats - installation, maintenance, rental, service or repair"
"840","1398b00","Welding-Refinery, Gas Plant or Similar risks (Scheduled Shut Down or Maintenance Period Only)","welding-refinery, gas plant or similar risks (scheduled shut down or maintenance period only)"
"841","8062d00","Speech - language pathologists/therapist","speech - language pathologists therapist"
"842","1393z00","Well development - incl. Drilling - NOC","well development - incl. drilling - noc"
"843","1394a50","Well Logging","well logging"
"844","1392a00","Well producing ops. (oil & gas drilling) / Compressor stations / Gas plants / Booster stations/ Petrochemical plants","well producing ops. (oil gas drilling) compressor stations gas plants booster stations petrochemical plants"
"845","8012b00","Surgeon specialists","surgeon specialists"
"846","1394a90","Well servicing - NOC","well servicing - noc"
"847","7313b00","Public relations firms","public relations firms"
"848","8302a00","Public schools - elementary","public schools - elementary"
"849","8303a00","Public schools - secondary","public schools - secondary"
"850","3590i00","Tinware manufacturing","tinware manufacturing"
"851","6532a00","Apartments - No Mercantile","apartments -"
"852","6542a00","Apartment house - with Mercantile occupancy","apartment house - with mercantile occupancy"
"853","1402a00","Quarrying - sand  / gravel digging","quarrying - sand gravel digging"
"854","1403a00","Quarrying (granite)","quarrying (granite)"
"855","4910a00","Electric light / power companies","electric light power companies"
"856","4951a00","Garbage - reduction and incineration including waste/recycling/landfill sites","garbage - reduction and incineration including waste recycling landfill sites"
"857","1782b00","Radon mitigation contractors","radon mitigation contractors"
"858","6550b00","Converted Dwellings","converted dwellings"
"859","6531a00","Townhouses - no mercantile occupancy, not Condominium or Co-op","townhouses -"
"860","1782c00","Radon testing firms","radon testing firms"
"861","1394a20","Well stimulation, swabbing, acidizing, neutralizing, snubbing","well stimulation, swabbing, acidizing, neutralizing, snubbing"
"862","6550a00","Tenement apartments, older row housing","tenement apartments, older row housing"
"863","3063a00","Tires (excl. retreading)","tires ("
"864","6580a00","Real estate agents","real estate agents"
"865","6541a00","Townhouses - with mercantile occupancy","townhouses - with mercantile occupancy"
"866","7408i00","Recording studios","recording studios"
"867","5291a00","Commercial building - multiple occupants - owner's risk","commercial building - multiple occupants - owner's risk"
"868","6501a00","Office building - owner's risk","office building - owner's risk"
"869","5292a10","Commercial condominiums - unit owners risk","commercial condominiums - unit owners risk"
"870","7980a00","Commercial zoos (safari parks, aquaria, etc.)","commercial zoos (safari parks, aquaria, etc.)"
"871","3991a00","Industrial plazas - multiple tenants - owner's risk","industrial plazas - multiple tenants - owner's risk"
"872","5292a00","Commercial condominiums - owner's risk","commercial condominiums - owner's risk"
"873","4952a00","Garbage collection - domestic-no waste/recycling/landfill sites","garbage collection - domestic"
"874","4241a00","Farm products warehousing","farm products warehousing"
"875","5302a00","Public markets (open air)","public markets (open air)"
"876","3992a00","Industrial condominiums - owner's risk","industrial condominiums - owner's risk"
"877","3992a10","Industrial Condominiums - unit owner's risk","industrial condominiums - unit owner's risk"
"878","5291b00","Unoccupied area/space in a building","unoccupied area space in a building"
"879","6670a00","Condominiums - townhouse - No mercantile","condominiums - townhouse -"
"880","6670b00","Condominium strata - 6 units or less","condominium strata - 6 units or less"
"881","6660a00","Condominiums/Strata - with Mercantile occupancy","condominiums strata - with mercantile occupancy"
"882","6670c00","Home Owners Associations","home owners associations"
"883","6660a10","Co-operatives - with mercantile occupancy","co-operatives - with mercantile occupancy"
"884","1718a00","Refrigeration, commercial contractor","refrigeration, commercial contractor"
"885","8062e00","Surgical centers (outpatient) including Laser surgery","surgical centers (outpatient) including laser surgery"
"886","6631a00","Building (Owner's risk only) Rented Dwellings, 1 or 2 units/suites","building (owner's risk only) rented dwellings, 1 or 2 units suites"
"887","6632a00","Commercial building - single occupant - owner's risk","commercial building - single occupant - owner's risk"
"888","8028a00","Vibrator machine operators","vibrator machine operators"
"889","5984z00","Fuel dealers - gases and chemicals, NOC","fuel dealers - gases and chemicals, noc"
"890","6631b00","Building (Owner's risk only) Rented Dwellings, 3 to 6 units/suites","building (owner's risk only) rented dwellings, 3 to 6 units suites"
"891","6633a00","Industrial building - single occupant - owner's risk","industrial building - single occupant - owner's risk"
"892","6631d00","Residential condominium - unit owners risk","residential condominium - unit owners risk"
"893","6631c00","Building (Owner's risk only) Rented Dwellings, over 6 units/suites","building (owner's risk only) rented dwellings, over 6 units suites"
"894","7418a00","Rental stores - costumes and party goods","rental stores - costumes and party goods"
"895","7694a00","Repair shops - furniture, re-upholsterers,  furniture refinishers","repair shops - furniture, re-upholsterers, furniture refinishers"
"896","6520a00","Housing development - large area (subdivisions)","housing development - large area (subdivisions)"
"897","1842a00","Vacant land","vacant land"
"898","1841a00","Vacant or idle buildings","vacant or idle buildings"
"899","1830c00","Restoration firm contractors","restoration firm contractors"
"900","1776b00","Roofing - any application of heat","roofing - any application of heat"
"901","1841a20","Vacant or idle buildings - other than factory","vacant or idle buildings - otherthanfactory"
"902","1841a10","Vacant or idle buildings - factory","vacant or idle buildings - factory"
"903","7927a00","Concert or similar entertainment","concert or similar entertainment"
"904","1776a00","Roofing - other (not shingles, no application of heat)","roofing - other "
"905","7933a00","Curling clubs","curling clubs"
"906","1775a00","Roofing (shingles)","roofing (shingles)"
"907","7985a00","Dance halls","dance halls"
"908","2110a00","Tobacco manufacturing","tobacco manufacturing"
"909","7926a00","Disc jockeys","disc jockeys"
"910","7840a00","Drive-in movie theatres","drive-in movie theatres"
"911","7928a00","Exhibition, fair grounds","exhibition, fair grounds"
"912","8304a00","Schools - private (elementary & secondary) / Day students only","schools - private (elementary secondary) day students only"
"913","7986a00","Fireworks display","fireworks display"
"914","7936a00","Fish, game, hunting clubs","fish, game, hunting clubs"
"915","8304b00","Schools - private (elementary & secondary) / Other (e.g. boarding)","schools - private (elementary secondary) other (e.g. boarding)"
"916","2110b00","Tobacco products (cigars & cigarettes) manufacturing","tobacco products (cigars cigarettes) manufacturing"
"917","8910z00","Scientific services, NOC, incl. non-medical laboratories","scientific services, noc, incl. non-medical laboratories"
"918","7932a00","Golf and country clubs (Pro shops code as 5932a00) Excl municipal courses","golf and country clubs (pro shops code as 5932a00) "
"919","7408j00","Search Agents","search agents"
"920","5982a00","Fuel dealers - liquid fuel","fuel dealers - liquid fuel"
"921","7992a00","Golf driving range & mini golf courses","golf driving range mini golf courses"
"922","7937a00","Health / exercise clubs / gym - NO Tanning beds","health exercise clubs gym -"
"923","7937a10","Health / exercise clubs / gym - With Tanning beds","health exercise clubs gym - with tanning beds"
"924","7812a00","Motion picture - distribution - incl. exchanges","motion picture - distribution - incl. exchanges"
"925","7811a00","Motion picture/videotaping-production","motion picture videotaping-production"
"926","7922a00","Motor vehicle racing","motor vehicle racing"
"927","7831a00","Movie theatres - indoor","movie theatres - indoor"
"928","3570b00","Tool - hand type, powered","tool - hand type, powered"
"929","1778a00","Septic tank installation, service, repair contractor","septic tank installation, service, repair contractor"
"930","1637a00","Sewer, water mains, steam mains contractors","sewer, water mains, steam mains contractors"
"931","0190a00","Sheep / Goat","sheep goat"
"932","7991a00","Municipal golf courses (pro shops code as 5932a00)","municipal golf courses (pro shops code as 5932a00)"
"933","7984a00","Municipal halls","municipal halls"
"934","7988a00","Outdoor rinks","outdoor rinks"
"935","7999a00","Paintball / laser tag courses","paintball laser tag courses"
"936","7981b00","Playgrounds, amusement parks, not amusement devices","playgrounds, amusement parks,"
"937","1762a00","Sheet metal contractors - away from shop","sheet metal contractors - away from shop"
"938","7941a00","Private clubs","private clubs"
"939","7926b00","Professional entertainers (bands)","professional entertainers (bands)"
"940","7960a00","Race track operations - not motor vehicles","race track operations -"
"941","7999b00","Rafting companies","rafting companies"
"942","7999z00","Recreation NOC","recreation noc"
"943","7938z00","Recreational clubs - NOC","recreational clubs - noc"
"944","1761a00","Sheet metal work (shop only)","sheet metal work (shop only)"
"945","7987a00","Riding academies","riding academies"
"946","7925a00","Rodeos / horse shows","rodeos horse shows"
"947","5981a00","Fuel dealers - solid fuel","fuel dealers - solid fuel"
"948","7935a00","Sailing schools / yacht clubs","sailing schools yacht clubs"
"949","5680a00","Fur salons and furriers block","fur salons and furriers block"
"950","7995a00","Saunas, baths","saunas, baths"
"951","7934a00","Shooting range ops.- in & outdoor","shooting range ops.- in outdoor"
"952","7983b00","Skateboard parks","skateboard parks"
"953","7996a00","Ski resorts (Ski shops code as 5933a00)","ski resorts (ski shops code as 5933a00)"
"954","7998a00","Ski, sightseeing - all other tows and lifts","ski, sightseeing - all other tows and lifts"
"955","3590j00","Tool and die shops","tool and die shops"
"956","7997a00","Ski, sightseeing - chair lifts, gondolas","ski, sightseeing - chair lifts, gondolas"
"957","5813b00","Refreshment Stands, drive-in restaurants","refreshment stands, drive-in restaurants"
"958","5813c00","Internet cafes","internet cafes"
"959","5811d00","Fine cuisine restaurant - not licensed","fine cuisine restaurant -"
"960","5311a00","Furniture, appliances, lighting fixtures, 2nd hand furn. (+1000 sq. m) Retail","furniture, appliances, lighting fixtures, 2nd hand furn. (+1000 sq. m) retail"
"961","5259b00","Glass dealers & installers (retail) (not automobiles)","glass dealers installers (retail) "
"962","7999c00","Skydiving operations","skydiving operations"
"963","5960a00","Greenhouses (retail)","greenhouses (retail)"
"964","7929z00","Special events NOC - parades etc.","special events noc - parades etc."
"965","7921b00","Sports playing field without stadium","sports playing field without stadium"
"966","7921a00","Stadiums, sports playing fields, grandstands & race tracks","stadiums, sports playing fields, grandstands race tracks"
"967","3984a00","Toy, hobby, handicraft, art supply mfg.","toy, hobby, handicraft, art supply manufactur."
"968","5433a00","Grocery stores / Supermarket","grocery stores supermarket"
"969","3793a00","Trailers, camper units","trailers, camper units"
"970","5996c00","Handicraft, hobby","handicraft, hobby"
"971","3790z00","Transportation NOC incl. bicycles","transportation noc incl. bicycles"
"972","5251b00","Hardware stores - no guns / ammunition / explosives, (with or without installations)","hardware stores - (with or without installations)"
"973","5252a00","Hardware stores - with guns / ammunition / explosives (with or without installations)","hardware stores - with guns ammunition explosives (with or without installations)"
"974","5433e00","Health food stores","health food stores"
"975","5258b00","Hot tub dealers including installation","hot tub dealers including installation"
"976","1719a00","Solar energy contractors","solar energy contractors"
"977","4953a00","Garbage collection - industrial-no waste/recycling/landfill sites","garbage collection - industrial"
"978","5983a00","Ice dealers (retail)","ice dealers (retail)"
"979","7297c00","Spas & Aestheticians","spas aestheticians"
"980","5970a00","Jewelry Stores (no coverage for jewellery)","jewelry stores "
"981","5717c00","Lamps & Lighting Fixtures - with installation & repair","lamps lighting fixtures - with installation repair"
"982","5960b00","Lawn & garden equipment dealers","lawn garden equipment dealers"
"983","8085b20","Weight control services","weight control services"
"984","5998a00","Limited price range stores (retail dollar stores)","limited price range stores (retail dollar stores)"
"985","5984a00","Liquefied petroleum gas retailing","liquefied petroleum gas retailing"
"986","5996a00","Luggage, religious goods, hobby, instruments ( musical, scientific, drafting, etc.), Leather ( excl. Clothing)","luggage, religious goods, hobby, instruments ( musical, scientific, drafting, etc.), leather ( "
"987","5342a00","Mail order firms - direct selling firms","mail order firms - direct selling firms"
"988","5591a00","Marine supply dealers","marine supply dealers"
"989","5433c00","Meat and poultry products stores","meat and poultry products stores"
"990","5695a00","Men's wear","men's wear"
"991","2591b00","Upholstered furniture mfg. - baby/children","upholstered furniture manufactur. - baby children"
"992","5256a00","Mobile / prefab home retailers","mobile prefab home retailers"
"993","5713a00","New furniture, lamps, lighting fixtures - no work off premises","new furniture, lamps, lighting fixtures -"
"994","5717a00","New furniture, lamps, lighting fixtures / with installation & repair","new furniture, lamps, lighting fixtures with installation repair"
"995","5960c00","Nurseries - wholesale & retail (excluding greenhouses)","nurseries - wholesale retail ("
"996","5990a00","Optical goods stores","optical goods stores"
"997","5254a00","Paint and wallpaper stores","paint and wallpaper stores"
"998","5940a00","Pawn shops","pawn shops"
"999","7994a00","Swimming pools and water amusement parks.","swimming pools and water amusement parks."
"1000","5994a00","Pet shops","pet shops"
"1001","5711a00","Picture framing (no original art)","picture framing "
"1002","5258a00","Plumbing, heating, air conditioning - no work off premises (Retail)","plumbing, heating, air conditioning -"
"1003","7416c00","Rental of Sporting Goods","rental of sporting goods"
"1004","5713d00","Second hand furniture, lamps, lighting fixtures / no work off premises","second hand furniture, lamps, lighting fixtures "
"1005","5691a00","Shoe / boot stores","shoe boot stores"
"1006","5992a00","Shoe repair, shoe shine, hat cleaning","shoe repair, shoe shine, hat cleaning"
"1007","5933a00","Ski shops","ski shops"
"1008","5932a00","Sporting good store - no guns/ammunition - No used protective equipment sales or rentals - i.e. helmets, eye shields, rib protectors, shoulder pads, chest protectors etc.","sporting good store - i.e. helmets, eye shields, rib protectors, shoulder pads, chest protectors etc."
"1009","5933z00","Sporting goods - specialty (e. g. scuba) - No used protective equipment sales or rentals - i.e. helmets, eye shields, rib protectors, shoulder pads, chest protectors etc.","sporting goods - specialty (e. g. scuba) - i.e. helmets, eye shields, rib protectors, shoulder pads, chest protectors etc."
"1010","5931b00","Sporting goods store - with guns/ammunition - No used protective equipment sales or rentals - i.e. helmets, eye shields, rib protectors, shoulder pads, chest protectors etc.","sporting goods store - with guns ammunition - i.e. helmets, eye shields, rib protectors, shoulder pads, chest protectors etc."
"1011","5993c00","Stationery & office supply stores","stationery office supply stores"
"1012","2591a00","Upholstered furniture mfg. - not for baby, children","upholstered furniture manufactur. - children"
"1013","5314z00","Stores - large open area - NOC Retail","stores - large open area - noc retail"
"1014","4117b00","Trucking - Local (Hauling for others)","trucking - local (hauling for others)"
"1015","3691b00","Valve mfg.","valve manufactur."
"1016","5990l00","Stores (NOC)","stores (noc)"
"1017","4780a00","Bus / truck maintenance garages","bus truck maintenance garages"
"1018","2815b00","Varnish manufacturing","varnish manufacturing"
"1019","1771a00","Stevedoring","stevedoring"
"1020","4471a00","Boat dealers and repairs","boat dealers and repairs"
"1021","6210a00","Stock / security brokers / dealers","stock security brokers dealers"
"1022","4117c10","Vacuum Truck Operators, hydrovac","vacuum truck operators, hydrovac"
"1023","4116a00","Teams (bakery, dairy, ice, express co.)","teams (bakery, dairy, ice, express co.)"
"1024","4472a00","Boat Operation - Non-owned","boat operation - non-owned"
"1025","4000a00","Railroad operations and properties","railroad operations and properties"
"1026","2081b00","Vinegar distilling","vinegar distilling"
"1027","7041a00","Summer Camps","summer camps"
"1028","4113a00","Bus terminal, excluding garage","bus terminal, "
"1029","4470z00","Water transportation services - NOC","water transportation services - noc"
"1030","4115a00","Ambulance services & rescue squads","ambulance services rescue squads"
"1031","4120a00","Air transportation services","air transportation services"
"1032","4112a00","Bus, streetcar, subway transit operation (not school buses)","bus, streetcar, subway transit operation "
"1033","4479a00","Canal operations - including locks","canal operations - including locks"
"1034","4120c00","Airport terminals","airport terminals"
"1035","7931a00","Tennis / racquet sports clubs, polo clubs","tennis racquet sports clubs, polo clubs"
"1036","4114a00","Highways bridges, tunnels, flumes","highways bridges, tunnels, flumes"
"1037","4922a00","Gas companies - liquefied petroleum dealers","gas companies - liquefied petroleum dealers"
"1038","2632b00","Wallpaper manufacturing","wallpaper manufacturing"
"1039","4921a00","Gas companies - local natural gas distributors","gas companies - local natural gas distributors"
"1040","4957a00","Irrigation works","irrigation works"
"1041","4955a00","Municipal sewer system operation","municipal sewer system operation"
"1042","4959a00","Pipeline operation - non-flammables","pipeline operation - non-flammables"
"1043","4892a00","Radio/television station - with stage or scenery storage","radio television station - with stage or scenery storage"
"1044","4891a00","Radio/television stations - no stage or scenery storage","radio television stations -"
"1045","4958c00","Recycling centres and plants (warehouse)","recycling centres and plants (warehouse)"
"1046","4950b00","Solar Power generation - PV (Photovoltaic) only","solar power generation - pv (photovoltaic) only"
"1047","4950z00","Steam heating or power - NOC","steam heating or power - noc"
"1048","5814a00","Take out meals","take out meals"
"1049","4820a00","Telegraph communication services","telegraph communication services"
"1050","2990a00","Wax products mfg. incl. polishes, dressings, waxes, candles","wax products manufactur. incl. polishes, dressings, waxes, candles"
"1051","4811a00","Telephone communications services","telephone communications services"
"1052","4956a00","Waste disposal site, incl. hazardous material","waste disposal site, incl. hazardous material"
"1053","4276a00","General merch, storage/moving/handling/packing - fibres, oils, petrochemicals, rags, fireworks, matches, explosives, tires","general merchandise, storage moving handling packing - fibres, oils, petrochemicals, rags, fireworks, matches, explosives, tires"
"1054","4115c00","Taxi companies (property only)","taxi companies (property only)"
"1055","4276z00","General merch, storage/moving/handling/packing NOC","general merchandise, storage moving handling packing noc"
"1056","4274a00","General merchandise, storage only - fibres, oils, petrochemicals, rags, fireworks, matches, explosives, tires","general merchandiseandise, storage only - fibres, oils, petrochemicals, rags, fireworks, matches, explosives, tires"
"1057","4273a00","General merchandise, storage only. No fibres, oils, petrochemicals, rags, fireworks, matches, explosives, tires","general merchandiseandise, storage only. oils, petrochemicals, rags, fireworks, matches, explosives, tires"
"1058","7408l00","Taxidermists","taxidermists"
"1059","4910b00","Waste-to-energy projects","waste-to-energy projects"
"1060","7832a00","Theatres - live / auditoriums/ concert halls","theatres - live auditoriums concert halls"
"1061","1783a00","Testing Contractors - Non destructive - (excluding x-ray, hydrostatic and well testing)","testing contractors - non destructive - ("
"1062","1783x20","Testing Contractors - Non destructive - (including x-ray but excl. x-ray of pipeline)","testing contractors - non destructive - (including x-ray but "
"1063","1783a20","Testing Contractors - Non destructive - (including x-ray but excluding hydrostatic and well testing) - Excluding Oilfield Operations","testing contractors - non destructive - (including x-ray but "
"1064","1783x10","Testing Contractors - Non-Destructive Testing (excl. x-ray) incl Gas & Oil Well Testing","testing contractors - non-destructive testing ( incl gas oil well testing"
"1065","7942a00","Veteran halls","veteran halls"
"1066","4275a00","General merchandise, storage/moving/handling/packing. No fibres, oils, petrochemicals, rags, fireworks, matches, explosives, tires","general merchandiseandise, storage moving handling packing. oils, petrochemicals, rags, fireworks, matches, explosives, tires"
"1067","4220a00","Grain elevator - country (warehouse)","grain elevator - country (warehouse)"
"1068","5255c00","Tire dealers","tire dealers"
"1069","4210a00","Grain elevators - terminal (warehouse) - fire resistive","grain elevators - terminal (warehouse) - fire resistive"
"1070","4221a00","Grain, seed, bean warehouse","grain, seed, bean warehouse"
"1071","5532a00","Tire recapping / retreading","tire recapping retreading"
"1072","0200a00","Tobacco farms","tobacco farms"
"1073","5991b00","Tobacconists","tobacconists"
"1074","2081c00","Wineries","wineries"
